文物名称,时代,图片链接,分类,窑口,文物简介
胭脂紫轧道珐琅彩直颈瓶,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/53490.jpg,珐琅彩,清宫造办处珐琅作,胭脂紫轧道珐琅彩直颈瓶，清乾隆，高27厘米，口径3.2厘米，足径4.4厘米。瓶直口，长颈，椭圆形腹，圈足，足内施松石绿釉，有青花双方栏 “乾隆年制”4字篆书款。外壁以紫釉为地，布满轧道卷草纹，其上以绿、黄、蓝等珐琅彩饰花卉纹，花纹错落有致，绘画精细。珐琅彩为康熙末年御窑厂在铜胎珐琅彩的基础上创制，乾隆时珐琅彩多用色地装饰，满绘纹饰。此瓶以红釉轧道为底釉，衬以鲜艳的珐琅彩，彩质细腻，装饰风格华丽，极为珍贵。此器伤璺严重，经修复后完整无缺，为我院珐琅彩器的收藏增添了新的品种。
墨彩《耕织图》瓷板书,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/53220.jpg,未知,未知,墨彩《耕织图》瓷板书，清乾隆。
粉彩八宝勾莲多穆壶,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/53218.jpg,粉彩,未知,粉彩八宝勾莲多穆壶，清乾隆，口径9.7厘米，底径14厘米，高47厘米。
紫砂百果壶,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/23915.jpg,未知,未知,紫砂百果壶，清乾隆，高14厘米，口径5厘米，足径2.2厘米。壶身圆形，其上以雕塑的百果巧妙地组成流、柄、盖、足等。盖面、盖钮为倒置的香菇，肩部贴塑花生、瓜子、云豆、枣、莲子等坚果，流为藕节，柄为菱角，近底处贴塑荔枝、莲子、核桃、莲蓬等，其中核桃、莲蓬、慈姑三枚果实较大，构成三只足，底心装饰一小花形假托足。整个壶身由十几种果实装饰，果实形态逼真，可见乾隆时期的紫砂艺匠在制作仿真花果方面的非凡功力。百果壶也称花果壶，由清初名家陈鸣远开创，乾隆、嘉庆时期颇为流行。制作时，要根据果实的颜色调制各种色调不同的砂泥，技术难度较大。民国初年曾批量生产，流传较多，但产品的制作水平与此壶相差甚远。
紫砂御题诗句烹茶图六方壶,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/23767.jpg,未知,未知,紫砂御题诗句烹茶图六方壶，清乾隆，高16.2厘米，口径4.2厘米，足径4.3厘米。壶呈六方形，小口出唇边，短颈，长弯流，圈足。竹黄色砂泥，色泽淳朴古雅。腹部两面有委角长圆形开光：一面开光内堆泥绘烹茶图，长廊一角，茶童手摇小扇，生火煎茶，二位高士围坐于桌边品茶畅谈；另一面开光内印刻乾隆七年（1742年）乾隆帝所作《雨中烹茶泛卧游书室有作》七言御题诗。与此壶纹样相同的还有数件紫砂茶叶罐，它们与青花松竹梅诗句盖碗、矾红松梅纹诗句盖碗等瓷质茶具组成成套茶具，置入紫檀或藤编的茶籝内，供皇帝出行时随身携带轮换使用。“卧游书室”是乾隆皇帝游览江南时所乘游船之名。原诗见《清高宗御制诗初集》卷九。
石湾窑牛式花插,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/22756.jpg,颜色釉,石湾窑,石湾窑牛式花插，清，长19.5厘米，高11厘米。此花插作牛式造型，胎体厚重，造型新颖。花口内饰黄釉，其余处满施深蓝釉，釉层凝厚，深蓝色釉中渗化出葱白色雨点状花斑，牛首及腿又呈现出窑变的效果。其窑变以蓝色为基调，虽仿钧窑，却又大不相同，具有浓郁的地方特色。石湾窑因位于广东佛山市石湾镇，产品仿钧窑釉色，故又被称为“广钧”。石湾窑以陶塑和建筑陶瓷著称。此件花插将牛雕塑得憨态可掬，釉色以蓝色为基调，变化万千，虽仿钧釉，却又大不相同。为石湾窑的代表作品之一。
松石绿地矾红彩云蝠纹葫芦瓶,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/50566.jpg,杂釉彩,未知,松石绿地矾红彩云蝠纹葫芦瓶，清乾隆，口径3.5厘米，底径11.4厘米，高33.3厘米。瓶呈宝葫芦形，小口，短颈，上腹较小，下腹较大。束腰。圈足。瓶内施松石绿釉，外壁松石绿地矾红彩云蝠纹装饰。圈足内施松石绿釉，外底中心留白，矾红彩单方栏内署矾红彩篆体“大清乾隆年制”六字三行款。葫芦形瓶是中国古代陶瓷中的传统造型，葫芦的多籽与缠绕的藤蔓被人类赋予多子多孙和延绵不断繁衍的含义。葫芦也是道教的圣物，既是通往仙境的法物，也是存放金丹的容器。瓶上的“红蝠”与“洪福”谐音，寓意“洪福齐天”。此瓶造型饱满端庄，无论是纹样还是造型均反映了乾隆时期对“福文化”的理解和追求。
宜兴窑紫砂三折斜方花盆,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/23507.jpg,未知,宜兴窑,宜兴窑紫砂三折斜方花盆，清乾隆，高16.7厘米，口径68.5×36厘米。花盆为三连斜方式，口边三折曲线，平底有二圆出水孔，下承八折角随形足。盆口以深栗色泥镶边，盆身为朱红色砂泥。此盆形状采用三连几何斜方体，打破了花盆造型的一般规律，风格独特，别出心裁。
宜兴窑紫砂蓝釉加彩缠枝莲大花盆,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/23508.jpg,未知,宜兴窑,宜兴窑紫砂蓝釉加彩缠枝莲大花盆，清乾隆，高48厘米，口径60厘米，底径40厘米。花盆板沿，深腹，圈足，底中部有一大圆出水孔，周围围绕四个小孔。内壁光素，外壁深褐色紫砂胎上施彩绘。口沿内侧饰绿彩描金缠枝莲纹一周，口沿饰蓝彩松竹梅，口沿外侧饰蓝彩回纹、如意云头纹各一周。腹绘蓝彩卷枝莲纹，近底处绘变形蕉叶纹，足边绘松、竹、梅纹。此盆形体硕大，彩绘精细，所施蓝彩与紫砂胎的深褐色搭配和谐，素雅而不失活泼，它是清乾隆时期皇室栽种大型盆景的理想用品，故宫博物院现收藏有4件。
宜兴窑紫砂梅花鹿,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/23469.jpg,紫砂,宜兴窑,宜兴窑紫砂梅花鹿，清乾隆，高12.8厘米，长13.8厘米。一只小鹿睁大眼睛机警地观察着周围的动静。姜黄色砂泥制成。鹿的毛色暗黄，通体布满白色梅花斑。双眼及四蹄皆为黑色，神情警觉，聪明可爱。鹿与 “禄”同音，寓意高官厚禄，因此明清以来被广泛应用于工艺美术品的装饰。此紫砂小鹿形态逼真，做工精致，代表了宜兴窑制作皇室御用文玩的高超水平。
霁蓝釉艾叶形洗,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/50571.jpg,颜色釉,未知,霁蓝釉艾叶形洗，清乾隆，高1.7厘米，长15.6厘米。洗呈艾叶形，洗内随边沿的起伏划出叶脉纹。通体内外施霁蓝釉，釉色深沉匀净。此洗以艾草叶为蓝本制作而成，当非偶然所为，必有其深层含意。艾，又名家艾、艾蒿。其茎、叶都含有挥发性芳香油，所产生的奇特芳香可驱蚊蝇、虫蚁，净化空气。中医学以艾入药，有理气血、祛寒湿的功效。而将艾叶加工成“艾绒”，是灸法治病的重要药材。民谚曰：“清明插柳，端午插艾。”端午节时民间重要的习俗之一就是在门上插艾草或菖蒲，用以杀菌防病、驱瘴辟邪。由上述可知，这件霁蓝釉艾叶形洗看似普通，却蕴含着中国传统文化的丰富内涵。
宜兴窑紫砂三连核桃,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/23476.jpg,紫砂,宜兴窑,宜兴窑紫砂三连核桃，清乾隆，高3.4厘米，足距4.4厘米。核桃三联式。姜黄色砂泥。其造型、纹路、色泽、质感皆惟妙惟肖，技艺之精已臻巧夺天工之境。此类作品是专为皇帝和后妃赏玩的仿生文玩。
宜兴窑紫砂描金彩绘天鸡尊,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/23480.jpg,未知,宜兴窑,宜兴窑紫砂描金彩绘天鸡尊，清乾隆，高15.5厘米，口径5.5厘米，足径10.5厘米。尊作天鸡驮宝瓶式，天鸡腹中空，与宝瓶的底部相通，鸡首口部有出气孔。通体以白、绿两色砂泥制成，以金彩描绘花纹。天鸡立于祥云之上，背托宝瓶，翅膀、鸡冠等部位施红彩。宝瓶上绘金彩祥云及“寿”字纹。此尊砂泥极细，装饰华丽，是乾隆朝宫廷御用文房清供之一。
宜兴窑紫砂百果诗句铭砚滴,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/23459.jpg,未知,宜兴窑,宜兴窑紫砂百果诗句铭砚滴，清乾隆，高5.4厘米，口径1.1×2厘米，足距2厘米。砚滴圆鼓腹、曲流、曲柄。此壶砚滴作像生形，以石榴为身，蘑菇为盖，藕节为流，灵芝为柄。肩部饰瓜子，底以柿子、桃子、核桃作足。壶身上的微缩瓜果均采用果实本色，形态逼真。主体砂泥呈冷金黄色，掺杂点点暗红砂。腹部阴刻行书“仙家花果四时同”七字。作为文房用具的砚滴最早出现时为铜质，两晋时期烧造出青瓷砚滴。此后历代都可见瓷质砚滴，但精美的紫砂陶质砚滴则十分稀见。
宜兴窑紫砂粉彩四季花鸟图委角笔筒,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/23509.jpg,未知,宜兴窑,宜兴窑紫砂粉彩四季花鸟图委角笔筒，清乾隆，高13.5厘米，口径12×12厘米，足径11×11厘米。笔筒呈方形、委角、直壁、平口。砂泥呈浅黄色。外壁四面以白、粉、黄、绿等色粉彩绘四季花鸟图：飞燕桃花、鹭鸶莲荷、双蜂戏菊、喜鹊登梅。笔筒色调丰富，制作技艺纯熟，所绘花树摇曳生姿，禽鸟等轻盈灵动，顾盼生辉。以紫砂胎施以粉彩的做法在清乾隆时期大量出现。
宜兴窑紫砂胎泥绘芦雁纹六方茶叶罐,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/23482.jpg,紫砂,宜兴窑,宜兴窑紫砂胎泥绘芦雁纹六方茶叶罐，清乾隆， 高16.2厘米，口径4厘米，足径4.7厘米。罐体呈六方形，附伞形盖，盖顶置钮，盖、钮、足皆为六方形。斜弧腹、唇口、短颈、圈足。朱红色砂泥。腹部六面绘通景芦雁纹，碧波粼粼的湖面上簇簇芦苇在微风中摇弋，一群大雁飞临水面，分别作飞、鸣、食、宿状。整幅画面用细润的泥浆堆绘而成，画面微微凸起，富有立体感。芦雁纹是中国文人画常见的题材之一，宋徽宗时期就有芦雁纹的宫廷绘画，明清时被大量地运用在工艺美术的装饰上。宫廷紫砂使用泥浆堆绘芦雁纹比一般的绘画作品内敛含蓄，凸显出紫砂泥质的肌理之美，恬静雅致，意蕴悠长，散发出无尽的书卷气。
宜兴窑紫砂胎泥绘烹茶图题乾隆御制诗文执壶,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/23764.jpg,未知,未知,"宜兴窑紫砂胎泥绘烹茶图题乾隆御制诗文执壶，清乾隆，高 11厘米，口径5厘米，足径5.5厘米。 壶体呈圆球形、鼓腹、圈足。细弯流，耳形柄。附馒头形盖，盖顶置圆珠钮。驼色细砂泥，光润滑爽。腹部两面饰委角长方形开光，一面刻乾隆帝御题《雨中烹茶泛卧游书室有作》七言诗：“溪烟山雨相空濛，生衣独做杨柳风。竹炉茗椀泛清濑，米家书画将无同。松风泻处生鱼眼，中泠三峡何须辨。清香仙露沁诗脾，座间不觉芳隄转。”句末钤圆形篆体“乾”字印和方形篆体“隆”字印。另一面开光内泥绘烹茶图。此种壶式在故宫博物院藏品中仅存一件，不仅造型独特，而且浅驼色的调砂泥在乾隆朝以后也已绝迹。"
宜兴窑紫砂胎黑漆描金“吉庆有余”纹执壶,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/23433.jpg,未知,未知,宜兴窑紫砂胎黑漆描金“吉庆有余”纹执壶，清乾隆，高10.4厘米，口径8.1厘米，足径7.8厘米。 壶直口，扁圆腹，短弯流，环形柄，圈足。附拱形盖，盖顶置宝珠钮。紫砂胎，外壁髹黑漆为地，漆上以金彩、红彩绘双鱼、灵芝、玉磬、蝙蝠组合的吉祥图案，寓意“吉庆有余”。外底刻描金篆体“大清乾隆年制”六字三行款。宫中的紫砂胎彩漆描金器始于清雍正时期，乾隆时完全成熟，嘉庆、道光后失传。此壶造型娟秀，制作精工，髹漆彩绘堪称一流。砂壶内胎清洁干爽，外表金碧辉煌，是既实用又美观的宫廷艺术珍品。
乾隆款天蓝釉出戟花觚,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/20914.jpg,未知,未知,乾隆款天蓝釉出戟花觚，清乾隆，高16.5厘米，口径12.2厘米，足径6厘米。 花觚撇口、长颈、圈足。腹部束腰，束腰上下各出戟四道。器内外均施天蓝釉。外底署青花篆体“大清乾隆年制”六字三行款。
青花梅雀图瓶,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/28965.jpg,未知,未知,青花梅雀图瓶，高36.3厘米，口径12厘米，足径13.5厘米。 瓶口微撇、溜肩、鼓腹、腹下收敛、圈足。此瓶形体庄重大方，线条优美流畅，因外观略似橄榄状，故名“橄榄瓶”。器内外及底部施青白釉，釉面肥厚，白中闪青。外壁绘青花月影梅雀竹石图，画中明月高悬，山石旁翠竹簇簇，绿草茵茵，梅树枝繁叶茂，梅花妩媚清丽，几只雀鸟栖息在梅树枝头。外底署青花篆体“大清乾隆年制”横行六字三行款。 此瓶浓艳的青花与洁白的釉色形成了强烈的对比，画面构图饱满，青花色泽浓淡相间，纹饰生动自然，如同一幅精美的写意花鸟画，为乾隆青花瓷器中的精品。
乾隆款仿朱漆菊瓣式盖碗,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24123.jpg,颜色釉,景德镇窑,"乾隆款仿朱漆菊瓣式盖碗，清乾隆，通高9.1厘米，口径11.5厘米，足径4.5厘米。碗呈菊瓣式、深弧腹、圈足外撇。附菊瓣形盖，盖面隆起，盖顶置圈形抓钮。盖内以金彩署乾隆御制诗一首：“制是菊花式，把比菊花轻。啜茗合陶句, 浥露掇其英。”碗内外通施仿朱漆釉，色质逼真。外底署金彩篆体“乾隆年制”四字双行款。盖碗属于饮茶用具，饮茶是文人墨客的雅事。乾隆皇帝嗜茶，常作诗品茗，在许多陶瓷茶具上都留有乾隆帝的御制诗句。"
乾隆款黄地珐琅彩西洋人物图绶耳葫芦瓶,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/17037.jpg,珐琅彩,景德镇窑,乾隆款黄地珐琅彩西洋人物图绶耳葫芦瓶，清乾隆，高10厘米，口径0.6厘米，足径2.8×2.1厘米。瓶呈葫芦形，长方形足，瓶身两侧置绶带状耳。通体施黄釉，以珐琅彩满绘勾莲纹。瓶身两侧上下饰开光，上部椭圆形开光内以胭脂彩绘山水楼阁图，下部海棠形开光内绘西洋母子图。足内施白釉，外底署蓝料彩楷体“乾隆年制”四字双行款。此瓶纹样描绘细腻，尤其是开光内的西洋女子衣着华丽，因采用了西洋画的明暗透视技法而具有立体效果。葫芦形的瓶体和山水图案则体现了中国传统的文化意味。东西文化的交融在这件器物上达到了和谐的统一。
霁蓝地描金粉彩诗句花卉纹大瓶,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/15107.jpg,粉彩,景德镇窑,霁蓝地描金粉彩诗句花卉纹大瓶，清乾隆，高64.7厘米，口径22.2厘米，足径20.4厘米。瓶撇口，长颈，六瓣瓜棱形腹，圈足。内外施白釉。外口部、颈部及近足处为霁蓝釉描金彩缠枝万福地与如意云头纹、卷草纹、回纹。腹部三组折枝花卉与乾隆御制诗句相间排列，诗句以墨彩书写，末尾钤“乾隆” 、“宸翰” 、“惟精” 、“唯一” 、“比德” 、“朗润”六枚矾红彩篆体闲章。圈足内施白釉。无款识。此瓶形体高大，制作难度之大体现了当时御窑制瓷工艺技巧之高。瓶体装饰诗画间错有序，设色华丽，颇具情趣。
青花缠枝莲纹如意耳扁壶,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24038.jpg,釉下彩,景德镇窑,青花缠枝莲纹如意耳扁壶，清乾隆，高53厘米，口径7.5厘米，足径16×10厘米。扁壶蒜头形口，短颈，口与肩之间对称置如意形耳，圆腹，腹壁的两侧各凸饰一个鼓钉，长方形圈足。内施白釉，外壁通体绘青花缠枝莲纹，辅以花卉、灵芝、梅花等边饰。圈足内施白釉。外底署青花篆书“大清乾隆年制”三行六字款。这是一件清代乾隆时期景德镇御窑厂烧造的宫廷用瓷，其造型、纹饰皆源于明代永乐、宣德时期的官窑青花瓷器，表现了乾隆时期在陶瓷器皿制作方面尚古之风的兴盛。
粉彩描金徽章纹杯,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24236.jpg,粉彩,景德镇窑,粉彩描金徽章纹杯，清乾隆，高6.8厘米，口径6.5厘米，足径4.4厘米。杯敞口，直壁，近足处微敛，圈足。内外施白釉。外口沿施金彩，外壁以蓝彩绘徽章图案。此杯捐献自沃尔沃中国公司。
粉彩孔雀牡丹纹汤盆,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24240.jpg,粉彩,景德镇窑,粉彩孔雀牡丹纹汤盆，清乾隆，高23厘米，口径36×21厘米，足径18×14厘米。汤盆呈椭圆形，置对称扁耳。穹形盖，上置贝壳式钮。内外施白釉。外壁以粉彩装饰。器身及盖以粉彩加金描绘山石、牡丹、桃枝、孔雀、雏鸡等纹饰，由四季花束分隔出各自的主题图案。此件汤盆与粉彩孔雀牡丹纹托盘属于一套餐具中的两件。此盆捐献自沃尔沃中国公司。
粉彩孔雀牡丹纹托盘,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24243.jpg,粉彩,景德镇窑,粉彩孔雀牡丹纹托盘，清乾隆，高5.1厘米，口径38×31.5厘米，足径24.5×19厘米。盘呈椭圆形，折沿，浅壁，椭圆形圈足。白地粉彩装饰。口沿处绘矾红彩锦纹，折沿及盘心处粉彩加金描绘山石、牡丹、桃枝、孔雀、雏鸡等纹饰。外壁施白釉无纹饰。此盘与粉彩孔雀牡丹纹汤盆属于一套餐具中的两件。此盘捐献自沃尔沃中国公司。
黑彩描金花卉纹碗,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24245.jpg,颜色釉,景德镇窑,黑彩描金花卉纹碗，清乾隆，高13.6厘米，口径31.5厘米，足径15厘米。碗敞口、深弧腹、圈足。外壁用黑彩描绘簇拥的各种花卉纹，花蕊上用金彩点缀。口沿饰以金彩。碗内心描金画瑞典支票图案，支票上日期注明是1762年8月11日，可以知道这只碗烧制的大致时间。此碗捐献自沃尔沃中国公司。
粉彩描金徽章纹单柄壶,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24231.jpg,粉彩,景德镇窑,粉彩描金徽章纹单柄壶，清乾隆，高19厘米，口径7厘米，足径10.4厘米。壶单柄，有盖，桃形盖钮，流弯曲且较长。通体在大面积的白地上，以粉彩中的蓝、黄等彩加金绘制盾形饰章及字母“S”，口沿及盖沿都饰有星形图案。该器仿造的是银器的造型，器上的盾形饰章不属于贵族徽章，乃为普通人定制。此壶捐献自沃尔沃中国公司。
宜兴窑紫砂胎泥绘烹茶图题乾隆御制诗文六方执壶,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24156.jpg,紫砂,宜兴窑,宜兴窑紫砂胎泥绘烹茶图题乾隆御制诗文六方执壶，清乾隆，通高16.5厘米，口径4厘米，足径4.3厘米。壶呈六方形、短颈，长弯流，曲柄。附六方伞形盖，盖顶置宝珠形纽。壶腹两面饰委角长圆形开光，一面开光内印刻乾隆七年（1742年）御制诗《雨中烹茶泛卧游书室有作》。诗云：“溪烟山雨相空蒙，生衣独坐杨柳风。竹炉茗碗泛清濑，米家书画将无同。松风泻处生鱼眼，中冷三峡何须辨。清香仙露沁诗脾，座间不觉芳堤转。”另一面开光内泥绘烹茶图。紫砂壶胎呈黄色，胎质细腻，制作工整，当为皇帝御用。
仿黑鲨鱼皮嵌钟表葫芦式壁瓶,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24125.jpg,颜色釉,景德镇窑,仿黑鲨鱼皮嵌钟表葫芦式壁瓶，清乾隆，高23厘米，口径7×3.5厘米，足径7.4×3.6厘米。壁瓶呈葫芦式、撇口、方足。壁瓶是用来挂在墙上装饰用的瓷瓶，所以一面有装饰，另一面做成平面。这件葫芦式壁瓶，上部开钱形洞孔，用于悬挂。上腹部与瓶颈间对称置如意耳，圆形开光内绘鱼藻图；下腹部两侧置夔龙形耳，中间镶嵌钟表。通体以黑色珍珠地装饰，饰金彩缠枝牡丹纹。瓶内壁、外底及背面施松石绿釉。外底自右向左署青花篆体“大清乾隆年制”六字单行横款，内镶嵌四铜制螺丝。这种黑色珍珠地系模仿鲨鱼皮效果，在陶瓷器中极为罕见。其造型古朴，形制端庄，既美观又实用。
广彩人物纹盘,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24219.jpg,广彩,景德镇窑,广彩人物纹盘，清乾隆，高2.7厘米，口径12.6厘米，足径7.3厘米。盘敞口，浅弧壁，圈足。通体内外施白釉。盘外壁光素无纹饰，盘内绘有一欧洲妇女的半身圆形肖像，笔触细腻，形象逼真，具有强烈的立体感。此种瓷盘是当时专门为适应欧洲市场对中国瓷器需要而特制的外销瓷。其所需白瓷胎是在景德镇烧造的，彩绘和烧彩则是在广州完成的，故有“广彩”之称。
蓝地粉彩勾莲纹佛塔,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24170.jpg,粉彩,景德镇窑,蓝地粉彩勾莲纹佛塔，清乾隆，高43.4厘米，底边长18.3厘米。此塔为藏式塔。顶饰如意宝瓶，下为粉色地宝盖。宝盖下是十三相轮，象征十三天。十三相轮及塔身均施霁蓝色釉地，上以金彩描绘勾莲、兽面及璎珞纹等。塔身内空，一侧开有欢门，内可放置佛像。最下是粉彩须弥方座，饰有缠枝、蕃莲等图案。塔座内空，可放置佛经。此塔属于供养塔，一般置于佛前供案上，以示观想。根据它的制作工艺、瓷质、釉色、图案等分析，应是乾隆时期景德镇御窑厂专门为宫廷佛堂烧造的。
乾隆款仿汝釉花囊,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24174.jpg,颜色釉,景德镇窑,乾隆款仿汝釉花囊，清乾隆，高13厘米，口径5.8厘米，足距8.5厘米。花囊口微撇、束颈、扁鼓腹、平底、底下承以三乳状足。肩部对称置双系，腹下凸起一周12个乳钉。通体施仿汝釉，釉面有细密开片纹。底心内凹，署青花篆体“大清乾隆年制”六字三行款。此器为插花器物，因形似鱼篓，故又称鱼篓尊。器形始见于雍正朝。此花囊形制新颖，造型规整，釉面莹润，为乾隆仿汝釉瓷器之精品。汝窑为宋代五大名窑之一，曾为北宋宫廷烧造御用青瓷。汝窑青瓷胎体轻薄，釉色素洁高雅，青中闪蓝，故有“雨过天青”之美誉。雍正、乾隆时期以唐英为督陶官的景德镇御窑厂曾大量仿制宋代五大名窑器物，仿汝釉瓷器主要是仿宋代汝窑瓷器的釉色，造型袭古又有创新，器物外底多有以青花书写或以铁锥刻划的本朝篆体年款。
像生瓷山子,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24226.jpg,粉彩,景德镇窑,像生瓷山子，清乾隆，高6厘米，长12.3厘米，宽4厘米。山子模仿天然山峰形状，高低错落。颜色亦模仿天然山色，系先烧成白胎后，再施釉彩经低温焙烧而成。底部自右至左刻楷体“蜗寄居士清玩”六字单行款。蜗寄居士为清代著名督陶官唐英的号。此件山子应为唐英亲手制作的文房用具。他于雍正六年至乾隆二十一年负责督理景德镇御窑厂窑务，深谙陶理。在任期间，亲自督理陶务，创烧出不少精美的陶瓷制品，尤其是仿制其它各类工艺品的瓷器，达到了奇巧、逼真的艺术效果。此件山子由张子厚先生捐献。
粉彩暗八仙纹双耳转心瓶,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24130.jpg,粉彩,景德镇窑,粉彩暗八仙纹双耳转心瓶，清乾隆，高37.3厘米，口径16厘米，足径13厘米。 瓶撇口、长颈、折肩、圈足外撇。颈上对称置红釉描金螭龙耳。内壁施松石绿釉。瓶颈以紫地粉彩装饰，绘缠枝花卉纹。瓶腹饰金彩，镂空雕暗八仙纹。内瓶可以转动，以粉彩绘八仙人物纹。无款识。
窑变釉钵缸,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24186.jpg,颜色釉,景德镇窑,窑变釉钵缸，清乾隆，高33.2厘米，口径31.2厘米，足径20.7厘米。缸体钵式、敛口、深腹、圈足。通体施窑变釉。釉面匀净，大面积的红釉与淡紫、月白等色釉交相辉映，艳丽华美。圈足内施酱釉，外底刻篆体“大清乾隆年制”六字三行款。窑变釉是清代雍正时期仿宋代钧窑而创烧的一种高温颜色釉。其烧造工艺，据成书于雍正年间的《南窑笔记》载：“其钧窑及法蓝、法翠乃先于窑中烧成无釉涩胎，然后上釉，再入窑复烧乃成。惟蓝、翠一火即就，钧釉则数火乃得流淌各种天然颜色。”此器造型端庄，胎体厚重，釉汁自然流淌，釉色艳丽，配上端庄秀美的器形，极富美感。
仿古铜彩出戟尊,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24139.jpg,釉下彩,景德镇窑,仿古铜彩出戟尊，清乾隆，高28.4厘米，口径14.6厘米，足径14.6厘米。尊撇口、鼓腹、圈足外撇。器身四面出戟，以青铜色为地，辅以绿松石釉、金银彩，间饰青铜锈色。外底刻阳文篆体“大清乾隆年制”六字三行款，外围金彩双方栏。此件瓷尊无论造型还是颜色均刻意模仿青铜器，达到了使人仅凭肉眼无法辨别是瓷还是铜的地步，这种釉色是乾隆时期的新创釉色。
乾隆款炉钧釉琮式瓶,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24126.jpg,颜色釉,景德镇窑,炉钧釉琮式瓶，清乾隆，高37.3厘米，口径8.6厘米，足径12.1厘米。瓶仿玉琮造型、短颈、折肩、方腹、高圈足外撇。器腹折角处凸饰八卦纹。通体施炉钧釉，釉面蓝紫相间，色彩斑驳，外底刻篆体“大清乾隆年制”六字三行款。乾隆朝的炉钧釉以蓝、绿、月白色釉面为主，釉面流淌小，以蓝色釉点多见，造型更加丰富。此器仿周代玉琮形状，古朴敦厚，釉色清新素雅，天蓝与淡紫色相互浸润衬托，具有不同凡响的艺术效果。
乾隆款白釉凸雕莲瓣口瓶,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24129.jpg,颜色釉,景德镇窑,乾隆款白釉凸雕莲瓣口瓶，清乾隆，高27.4厘米，口径9.3厘米，足径8.5厘米。瓶口为莲瓣形、长颈、丰肩、圈足。胎体洁白细腻，通体施白釉，釉色恬淡。外壁凸印莲花花叶及花蕾纹饰，花叶内以极细的线条刻划出筋脉纹理，纹饰清晰。外底刻篆体“大清乾隆年制”六字三行款。此瓶造型优美，构思巧妙，工艺精湛，显示出乾隆时期高超的制瓷技艺。
乾隆款淡黄釉盖盒,清乾隆,http://www.dpm.org.cn/Uploads/Picture/dc/24133.jpg,颜色釉,景德镇窑,乾隆款淡黄釉盖盒，清乾隆，通高12厘米，口径18厘米，足径10.6厘米。盒呈圆形，上下子母口套合，圏足。附伞形盖，盖面呈浅阶梯状，盖顶置宝珠形纽。盒内分成七格，呈花瓣状。内壁与圈足内施白釉。外壁通体施淡黄釉。外底署青花篆体“大清乾隆年制”六字三行款。此盒胎体略厚，釉面略显不匀，黄釉淡雅宜人。淡黄釉瓷创烧于雍正时期，其着色剂为氧化锑，由于其釉色比氧化铁为着色剂的传统浇黄釉浅淡，故名。又因其釉色淡雅似蛋黄色，故又称“蛋黄釉”。《陶成纪事》中称之为“西洋黄”。
